lead_id,country,stage,stage_order,won,is_closed
160,Ireland,outreach,1,0,0
161,Ireland,outreach,1,0,0
162,Ireland,outreach,1,0,0
163,Ireland,outreach,1,0,0
164,Iraq,outreach,1,0,0
165,Iraq,outreach,1,0,0
166,Iraq,outreach,1,0,0
167,Iraq,outreach,1,0,0
168,Indonesia,outreach,1,0,0
169,Indonesia,outreach,1,0,0
170,Indonesia,outreach,1,0,0
171,India,outreach,1,0,0
172,India,outreach,1,0,0
173,India,outreach,1,0,0
174,India,outreach,1,0,0
175,India,outreach,1,0,0
176,India,outreach,1,0,0
177,India,outreach,1,0,0
178,India,outreach,1,0,0
179,Greece,outreach,1,0,0
180,Greece,outreach,1,0,0
181,Greece,outreach,1,0,0
182,Greece,engagement,2,0,0
183,Greece,engagement,2,0,0
184,Greece,engagement,2,0,0
185,Greece,outreach,1,0,0
186,Greece,outreach,1,0,0
187,Greece,outreach,1,0,0
188,Greece,outreach,1,0,0
189,Greece,outreach,1,0,0
190,Greece,outreach,1,0,0
191,Georgia,outreach,1,0,0
192,Georgia,outreach,1,0,0
193,Georgia,engagement,2,0,0
194,Ethiopia,outreach,1,0,0
195,Estonia,outreach,1,0,0
196,Estonia,meeting,3,0,0
197,Estonia,engagement,2,0,0
198,Estonia,engagement,2,0,0
199,Egypt,outreach,1,0,0
200,Egypt,engagement,2,0,0
201,Egypt,outreach,1,0,0
202,Egypt,outreach,1,0,0
203,Egypt,outreach,1,0,0
204,Egypt,outreach,1,0,0
205,Egypt,engagement,2,0,0
206,Egypt,outreach,1,0,0
207,Egypt,outreach,1,0,0
208,Egypt,outreach,1,0,0
209,Egypt,outreach,1,0,0
210,Egypt,outreach,1,0,0
211,Egypt,outreach,1,0,0
212,Egypt,outreach,1,0,0
213,Egypt,outreach,1,0,0
214,Egypt,outreach,1,0,0
215,Egypt,engagement,2,0,0
216,Egypt,engagement,2,0,0
217,Egypt,outreach,1,0,0
218,Egypt,outreach,1,0,0
219,Egypt,outreach,1,0,0
220,Egypt,outreach,1,0,0
221,Egypt,outreach,1,0,0
222,Egypt,engagement,2,0,0
223,Denmark,outreach,1,0,0
224,Denmark,outreach,1,0,0
225,Denmark,outreach,1,0,0
226,Denmark,outreach,1,0,0
227,Denmark,engagement,2,0,0
228,Denmark,outreach,1,0,0
229,Denmark,outreach,1,0,0
230,Denmark,outreach,1,0,0
231,Denmark,engagement,2,0,0
232,Denmark,outreach,1,0,0
233,Denmark,outreach,1,0,0
234,Denmark,outreach,1,0,0
235,Denmark,outreach,1,0,0
236,Denmark,engagement,2,0,0
237,Denmark,outreach,1,0,0
238,Denmark,outreach,1,0,0
239,Denmark,outreach,1,0,0
240,Denmark,outreach,1,0,0
241,Denmark,outreach,1,0,0
242,Denmark,outreach,1,0,0
243,Czech Republic,outreach,1,0,0
244,Czech Republic,outreach,1,0,0
245,Czech Republic,outreach,1,0,0
246,Czech Republic,outreach,1,0,0
247,Czech Republic,outreach,1,0,0
248,Czech Republic,outreach,1,0,0
249,Czech Republic,outreach,1,0,0
250,Cyprus,outreach,1,0,0
251,Cyprus,outreach,1,0,0
252,Croatia,engagement,2,0,0
253,Croatia,outreach,1,0,0
254,Croatia,engagement,2,0,0
255,Croatia,outreach,1,0,0
256,Bulgaria,outreach,1,0,0
257,Bulgaria,outreach,1,0,0
259,Bulgaria,outreach,1,0,0
260,Bulgaria,engagement,2,0,0
261,Bulgaria,outreach,1,0,0
262,Bulgaria,outreach,1,0,0
263,Belgium,outreach,1,0,0
264,Belgium,outreach,1,0,0
265,Bahrain,outreach,1,0,0
266,Bahrain,outreach,1,0,0
267,Bahrain,outreach,1,0,0
268,Bahrain,outreach,1,0,0
269,Bahrain,engagement,2,0,0
270,Bahrain,outreach,1,0,0
271,Bahrain,outreach,1,0,0
272,Bahrain,outreach,1,0,0
273,Bahrain,outreach,1,0,0
274,Bahrain,outreach,1,0,0
275,Azerbaijan,meeting,3,0,0
276,Armenia,outreach,1,0,0
277,Armenia,outreach,1,0,0
278,Armenia,outreach,1,0,0
279,Algeria,outreach,1,0,0
280,Albania,outreach,1,0,0
281,Albania,outreach,1,0,0
282,Albania,outreach,1,0,0
283,Albania,outreach,1,0,0
284,Albania,outreach,1,0,0
285,Georgia,outreach,1,0,0
286,Thailand,outreach,1,0,0
287,Thailand,outreach,1,0,0
288,Thailand,outreach,1,0,0
289,Thailand,outreach,1,0,0
290,Thailand,outreach,1,0,0
291,Thailand,outreach,1,0,0
292,Thailand,outreach,1,0,0
293,Thailand,outreach,1,0,0
294,Thailand,outreach,1,0,0
295,Thailand,outreach,1,0,0
296,Thailand,outreach,1,0,0
297,Thailand,outreach,1,0,0
298,Thailand,outreach,1,0,0
299,Thailand,outreach,1,0,0
