lead_id,country,type,stage,stage_order,won,is_closed
140,South Korea,Government,outreach,1,0,0
141,South Korea,Government,outreach,1,0,0
142,South Korea,Government,outreach,1,0,0
143,South Korea,Government,outreach,1,0,0
144,South Korea,Government,outreach,1,0,0
145,South Korea,Government,outreach,1,0,0
146,South Korea,Government,outreach,1,0,0
147,South Korea,Government,outreach,1,0,0
148,South Korea,Government,outreach,1,0,0
149,South Korea,Government,outreach,1,0,0
150,Kazakhstan,Government,engagement,2,0,0
151,Kazakhstan,Government,outreach,1,0,0
152,Kazakhstan,Government,engagement,2,0,0
153,Kazakhstan,Government,engagement,2,0,0
154,Kazakhstan,Government,engagement,2,0,0
155,Jordan,Government,outreach,1,0,0
156,Jordan,Government,proposal,4,0,0
157,Ireland,Government,outreach,1,0,0
158,Ireland,Government,outreach,1,0,0
159,Ireland,Government,outreach,1,0,0
160,Ireland,Government,outreach,1,0,0
161,Ireland,Government,outreach,1,0,0
162,Ireland,Government,outreach,1,0,0
163,Ireland,Government,outreach,1,0,0
164,Iraq,Government,outreach,1,0,0
165,Iraq,Government,outreach,1,0,0
166,Iraq,Government,outreach,1,0,0
167,Iraq,Government,outreach,1,0,0
168,Indonesia,Government,outreach,1,0,0
169,Indonesia,Government,outreach,1,0,0
170,Indonesia,Government,outreach,1,0,0
171,India,Government,outreach,1,0,0
172,India,Government,outreach,1,0,0
173,India,Government,outreach,1,0,0
174,India,Government,outreach,1,0,0
175,India,Government,outreach,1,0,0
176,India,Government,outreach,1,0,0
177,India,Government,outreach,1,0,0
178,India,Government,outreach,1,0,0
179,Greece,Government,outreach,1,0,0
180,Greece,Government,outreach,1,0,0
181,Greece,Government,outreach,1,0,0
182,Greece,Government,engagement,2,0,0
183,Greece,Government,engagement,2,0,0
184,Greece,Government,engagement,2,0,0
185,Greece,Government,outreach,1,0,0
186,Greece,Government,outreach,1,0,0
187,Greece,Government,outreach,1,0,0
188,Greece,Government,outreach,1,0,0
189,Greece,Government,outreach,1,0,0
190,Greece,Government,outreach,1,0,0
191,Georgia,Government,outreach,1,0,0
192,Georgia,Government,outreach,1,0,0
193,Georgia,Government,engagement,2,0,0
194,Ethiopia,Government,outreach,1,0,0
195,Estonia,Government,outreach,1,0,0
196,Estonia,Government,meeting,3,0,0
197,Estonia,Government,engagement,2,0,0
198,Estonia,Government,engagement,2,0,0
199,Egypt,Government,outreach,1,0,0
200,Egypt,Government,engagement,2,0,0
201,Egypt,Government,outreach,1,0,0
202,Egypt,Government,outreach,1,0,0
203,Egypt,Government,outreach,1,0,0
204,Egypt,Government,outreach,1,0,0
205,Egypt,Government,engagement,2,0,0
206,Egypt,Government,outreach,1,0,0
207,Egypt,Government,outreach,1,0,0
208,Egypt,Government,outreach,1,0,0
209,Egypt,Government,outreach,1,0,0
210,Egypt,Government,outreach,1,0,0
211,Egypt,Government,outreach,1,0,0
212,Egypt,Government,outreach,1,0,0
213,Egypt,Government,outreach,1,0,0
214,Egypt,Government,outreach,1,0,0
215,Egypt,Government,engagement,2,0,0
216,Egypt,Government,engagement,2,0,0
217,Egypt,Government,outreach,1,0,0
218,Egypt,Government,outreach,1,0,0
219,Egypt,Government,outreach,1,0,0
220,Egypt,Government,outreach,1,0,0
221,Egypt,Government,outreach,1,0,0
222,Egypt,Government,engagement,2,0,0
223,Denmark,Government,outreach,1,0,0
224,Denmark,Government,outreach,1,0,0
225,Denmark,Government,outreach,1,0,0
226,Denmark,Government,outreach,1,0,0
227,Denmark,Government,engagement,2,0,0
228,Denmark,Government,outreach,1,0,0
229,Denmark,Government,outreach,1,0,0
230,Denmark,Government,outreach,1,0,0
231,Denmark,Government,engagement,2,0,0
232,Denmark,Government,outreach,1,0,0
233,Denmark,Government,outreach,1,0,0
234,Denmark,Government,outreach,1,0,0
235,Denmark,Government,outreach,1,0,0
236,Denmark,Government,engagement,2,0,0
237,Denmark,Government,outreach,1,0,0
238,Denmark,Government,outreach,1,0,0
239,Denmark,Government,outreach,1,0,0
240,Denmark,Government,outreach,1,0,0
241,Denmark,Government,outreach,1,0,0
242,Denmark,Government,outreach,1,0,0
243,Czech Republic,Government,outreach,1,0,0
244,Czech Republic,Government,outreach,1,0,0
245,Czech Republic,Government,outreach,1,0,0
246,Czech Republic,Government,outreach,1,0,0
247,Czech Republic,Government,outreach,1,0,0
248,Czech Republic,Government,outreach,1,0,0
249,Czech Republic,Government,outreach,1,0,0
250,Cyprus,Government,outreach,1,0,0
251,Cyprus,Government,outreach,1,0,0
252,Croatia,Government,engagement,2,0,0
253,Croatia,Government,outreach,1,0,0
254,Croatia,Government,engagement,2,0,0
255,Croatia,Government,outreach,1,0,0
256,Bulgaria,Government,outreach,1,0,0
257,Bulgaria,Government,outreach,1,0,0
259,Bulgaria,Government,outreach,1,0,0
260,Bulgaria,Government,engagement,2,0,0
261,Bulgaria,Government,outreach,1,0,0
262,Bulgaria,Government,outreach,1,0,0
263,Belgium,Government,outreach,1,0,0
264,Belgium,Government,outreach,1,0,0
265,Bahrain,Government,outreach,1,0,0
266,Bahrain,Government,outreach,1,0,0
267,Bahrain,Government,outreach,1,0,0
268,Bahrain,Government,outreach,1,0,0
269,Bahrain,Government,engagement,2,0,0
270,Bahrain,Government,outreach,1,0,0
271,Bahrain,Government,outreach,1,0,0
272,Bahrain,Government,outreach,1,0,0
273,Bahrain,Government,outreach,1,0,0
274,Bahrain,Government,outreach,1,0,0
275,Azerbaijan,Government,meeting,3,0,0
276,Armenia,Government,outreach,1,0,0
277,Armenia,Government,outreach,1,0,0
278,Armenia,Government,outreach,1,0,0
279,Algeria,Government,outreach,1,0,0
280,Albania,Government,outreach,1,0,0
281,Albania,Government,outreach,1,0,0
282,Albania,Government,outreach,1,0,0
283,Albania,Government,outreach,1,0,0
284,Albania,Government,outreach,1,0,0
285,Georgia,Government,outreach,1,0,0
286,Thailand,Government,outreach,1,0,0
287,Thailand,Government,outreach,1,0,0
